Cell Line,Tissue,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2,Medium Condition
CJM,Skin,-0.017044674,0.431586761,0.625888379,-1.192891777,-0.002605513,0.122348806,0.239771974,0.722741435,0.03126975,-0.392888242,-0.172022896,-0.08666795,0.028144505,-0.12849489,0.166477273,-0.245106336,-0.122931665,-0.620658742,-1.975741846,-0.299596639,-0.719446517,-0.475848197,0.275660982,0.546407367,-0.175332245,-0.272701495,0.510412738,0.634221708,-0.220893167,-0.457372689,0.416037031,0.484296833,-0.608683427,-1.215073978,-0.692334561,-0.065272014,-0.026405491,0.011719782,0.145679472,0.061444405,-0.060106421,0.070408971,F10
BICR22,Upper Aerodigestive Tract,-0.579154097,-0.325834792,,-1.303095109,0.093424437,0.333537003,-0.044124334,-0.174427821,-0.120980137,-0.395067436,0.067908328,-0.201180431,-0.22703258,-0.538663594,0.135288089,-0.573109707,-0.343046153,-0.568666857,,0.181730847,-0.446084419,-0.543023291,-0.73539942,0.396967289,-0.150392664,-1.231606485,-0.10273989,0.584224636,-0.1694661,-0.658724336,0.216831298,0.326912661,-0.40916391,,,-0.0098648,0.88157896,0.105142912,-0.02545503,0.002924158,-0.024296742,0.10938887,DMEM wGln
TM31,Central Nervous System,0.309503165,0.495138371,0.559577888,0.336797346,0.445743855,0.36931493,0.522642609,0.888102174,0.858957422,0.415286214,0.343359109,0.231587855,0.118077914,0.469854296,0.284629397,0.310451021,0.858257784,0.168280597,,1.197480454,0.809202538,0.293553643,0.716760839,1.243121727,0.522298957,0.370593306,0.552466658,0.39633177,0.160204441,0.086794976,0.078738246,-0.113473902,0.040869616,1.367763319,0.437922746,1.030755365,-0.469121743,0.466810856,,0.543872082,-0.13013454,-0.524852061,MEM
SNU1272,Kidney,-0.043485853,0.367518136,0.151416853,-0.582813648,0.003127016,0.220627854,0.269233559,0.017334197,-0.747954052,-0.399518118,-0.136518092,-0.104305717,-0.199144228,-0.375557509,0.168424125,-0.025756176,-0.702599973,-0.371768596,-1.650406578,-0.723923886,-0.345180964,-0.88690729,-0.428954839,-0.729944164,-0.135960606,0.150550435,-0.352851503,-0.567695857,-0.008124311,0.644924331,-0.395628668,0.433183242,-1.070326363,-0.64734061,-0.416529057,-0.339953872,0.001465838,-0.026191313,-0.209703314,-0.122763436,0.055973979,0.214910247,RPMI wGln
KPNRTBM1,Autonomic Ganglia,0.104009696,0.225650276,-0.185851213,0.699272113,-0.292884069,0.196989872,0.224798986,-0.675050738,0.1053653,0.01115853,0.527897723,0.954030725,0.587808054,0.073589981,0.038823796,1.066010991,0.816269994,1.218891983,,0.194852102,0.819236909,0.990128698,0.774357151,-0.559915569,0.805451869,0.877019757,0.293271751,-0.627807737,0.415092639,0.656875901,-1.135688845,-0.373308676,0.656487714,1.335539722,1.191307571,1.096661651,0.532134169,0.035099725,,-0.003554933,0.434983259,0.61938348,RPMI
BICR18,Upper Aerodigestive Tract,0.049019849,-0.33857212,-0.379552102,,0.033314144,-6.41E-05,0.150844268,-0.376703601,0.068465237,-0.0812491,0.019938522,0.27182941,-0.023664202,-0.018150472,-0.018217205,0.142292923,-0.159172391,-0.192129087,1.049890793,-0.596084368,0.206483144,-0.188104619,-0.862467819,-0.930985129,0.426687925,-0.097139505,-0.463477062,-1.262868405,0.415020232,1.111729922,-1.830454171,-0.402528262,-0.237914366,0.007326383,0.059417065,-0.678830558,0.025063039,0.061089732,-0.061707051,0.179519671,-0.516421368,-0.952072089,RPMI
TE4,Oesophagus,-0.110149389,0.30124274,0.073747399,0.011664495,-0.1415667,0.215912924,-0.110307758,0.055017261,-0.301144787,-0.159318467,0.214369965,0.168280607,0.067006148,-0.141276904,-0.017336185,0.455163921,-0.41837262,0.145708372,,0.18515077,0.005659292,-0.171957526,-0.809793512,0.285155304,0.412463816,0.082145203,0.080149345,-0.601108862,0.154304507,0.308754679,-1.508307629,-0.765897672,0.604186415,0.903014656,0.228428005,-0.715875211,0.757548591,0.008990034,,0.127453509,-4.247101692,,RPMI
ECC10,Stomach,-0.460745586,-0.319961302,-0.841440229,-3.84201725,-1.088587356,-0.874119103,-0.271698932,-1.366775841,-1.042155422,-0.333475453,0.331503938,0.129882964,-0.251809494,-0.317687084,-1.030420988,-0.718007411,-0.00940678,0.259055714,-3.542563635,-1.960623,-1.530232532,-2.140351978,-0.896209579,-1.648601961,-0.965408081,-1.393707695,-0.400277963,-0.911399056,-0.72075411,-0.426395551,0.00925793,0.223190502,-0.16536047,-1.099208748,-1.547360437,-2.175822937,0.137029556,-0.639974561,-5.534008911,-0.532692287,-0.520092791,-0.995203208,RPMI
TUHR14TKB,Kidney,-0.093999309,0.529678654,0.230529084,-0.085428683,-0.174880779,0.232100073,0.452381401,0.445024664,0.027492346,-0.750149822,-0.223619372,0.08283647,0.050644355,-0.249483732,0.291049192,0.315325175,-0.691928004,-0.077580215,0.177593511,-1.176311393,-0.363803592,0.326899012,0.115607477,-1.274961662,-0.217072578,-0.498912307,0.030070635,-1.293134789,0.331205552,1.491796225,-1.015923406,0.204424333,-0.890822206,-0.515787075,-0.34807083,0.788351401,0.292793183,0.11831632,-0.651070379,-0.063971719,0.315408192,0.724295643,RPMI
YD15,Salivary Gland,-0.028270754,-0.401591761,0.016544429,-0.122954287,0.271693374,0.103171669,-0.387223684,0.151534302,-0.007983313,-0.300217474,-0.450847575,-0.90469799,-0.955576388,-0.452999581,-0.140078991,-0.429739377,-0.404810881,-0.923476154,,1.061652831,0.373330468,-0.039888001,0.102606495,0.787600281,-0.006529967,-0.358369026,-0.361094133,0.128395534,-0.284229312,-0.701278968,-0.39777958,-0.861550036,0.091014363,0.006880319,-0.06268202,-0.176709798,0.692113143,-0.010280582,,0.081277441,-0.583118715,-0.55247313,RPMI wGln
ECGI10,Oesophagus,-0.122407128,-0.000679956,-0.400771119,0.178867012,-0.828443811,-0.090236526,0.337113329,0.768098616,-0.162588735,-1.175076838,-0.268716905,0.475652095,0.945523383,-0.101174076,0.39107449,0.304483632,0.195057984,0.270487939,-4.72965919,-2.174442686,-2.425610729,-1.367694596,-0.895418517,-1.021917928,-1.086266851,-0.200869942,0.131531059,-0.065653568,0.412816008,0.595123764,0.292888005,0.206581863,-2.507230194,-3.836325939,-2.007034427,-2.162298952,-0.548074326,-0.027718792,-6.384913175,0.075849182,-0.074867294,-1.877867904,F12
CW2,Large Intestine,0.020962215,-0.531522348,-0.558350355,-6.766932254,0.277788646,0.260047481,-0.050063346,0.107365159,0.868168609,-0.207967497,-0.276846328,-0.366170752,-0.59499989,0.192472155,-0.031155822,0.281260523,0.265732671,0.284829709,0.10315658,0.641693216,-0.41975234,-0.865437349,-0.23844941,0.756527985,-0.577013879,-0.732920861,-0.298330982,0.512198982,-0.339250468,-1.229041163,0.602599408,-0.353031091,1.082898774,-0.108358673,-0.521485832,-0.240025624,-0.284409125,-0.138344632,-3.749828265,-0.08981941,-0.116522062,0.538902355,RPMI
SNU761,Liver,-0.550002207,-0.62155603,-0.276100363,-0.211508441,0.456177686,0.184487553,0.533544085,0.695541041,0.724093084,-0.125133271,-0.224101416,0.492325521,0.68794285,-0.029901032,0.44143075,0.488806365,-0.149057314,0.091214245,0.751886237,1.26221149,1.330058122,1.881085607,1.158743019,1.026790001,0.787174306,0.46031784,0.423818913,0.52186512,0.061151061,-0.42447818,0.058750232,-0.238487546,1.135494456,1.026534949,1.185294684,2.300917315,0.931631094,0.398354515,0.337298872,0.372317224,0.464047295,0.562266795,RPMI wGln
SNU61,Large Intestine,0.1866444,0.03123015,-0.089146624,-1.318326101,-0.127771457,0.140923082,0.182918821,0.434190353,-0.932190368,-0.287223057,-0.072547123,0.025716084,0.119459997,-1.105548353,0.099434596,0.083678601,-0.241934874,-0.235154449,-1.572143106,0.408657496,-0.251499621,-1.14812992,-0.703107732,0.699318776,-0.118721719,-0.282423082,0.084103006,0.722198875,-0.007878781,-0.202276556,-0.127731596,0.400581538,0.310969677,-0.955794217,-1.003265747,-1.463861059,1.109676016,0.054854522,,0.042873104,0.025415437,-0.236882084,RPMI wGln
NCIH1915,Lung,0.129584805,-0.435206601,0.260536348,-0.140795396,-0.203162971,-0.054681633,0.163075705,0.327172016,-0.078485408,0.072175017,-0.474115052,-0.5167504,-0.256098398,-0.147845709,0.172671106,0.029700674,-0.132843972,-0.077909742,,1.108657979,0.031595174,-0.132327913,-0.501683877,0.938321294,-0.237294192,-0.586935551,-0.360877773,0.332205634,-0.159409139,-1.294304753,-0.550445827,-0.591068216,0.713602395,0.13134165,-0.003461982,-0.231888206,1.328504787,0.081001841,,-0.031001415,0.208297553,0.241373999,RPMI
SNU324,Pancreas,0.158971355,-1.249791848,-0.881852406,0.463981977,-0.013132977,0.157389501,-0.036563132,-0.23523396,-0.049648376,0.458066782,0.497383028,0.483825627,0.356947317,0.029301347,0.055751556,0.389687187,0.624961732,0.325146045,2.162211193,-0.564474935,0.069906412,-0.163755668,-0.155164606,-0.66553315,0.222372753,0.296427087,0.05389565,-0.511851711,0.313461682,0.779013162,-0.146919044,0.61561876,0.142601075,0.440868638,-0.066389488,-0.197829116,0.035644527,0.048519557,0.125829043,0.085023356,0.261472224,0.397032221,RPMI wGln
YD10B,Upper Aerodigestive Tract,-0.222173918,-0.247352261,-0.719130951,-0.242585864,0.36740989,0.135390959,-0.749811531,-0.993410266,0.618559656,-0.072648592,-0.264628471,-0.713481795,-1.02127408,0.312452877,-0.2993069,-0.227188407,-0.095833485,-0.399222102,0.803086605,0.214662724,0.425134813,0.316395844,-0.311853318,0.022171056,0.226161449,-0.116902593,-0.589022118,0.050534481,-0.008088459,-0.476743761,-0.56642895,-0.342011035,-0.199002616,-0.536716724,-0.188279979,-0.720304647,-0.073947205,-0.334690715,-0.182893788,-0.289541447,-0.551869399,-1.112862893,RPMI wGln
HCC2279,Lung,0.066444943,0.108872637,0.800731576,-1.734022574,-0.231082991,-0.147401337,0.419833239,-0.002241891,-0.100541531,-0.841158212,-0.328032286,-0.053361807,0.372597382,-0.168466662,0.265810657,0.441653932,-0.36419593,0.227766487,-3.255285116,-1.429183591,-0.269981834,0.644038184,-0.144647544,-1.306469512,-0.061780956,0.711948958,-0.196012704,-0.105808259,0.199374608,0.400899364,0.279225923,-0.018372137,-0.259438463,-0.568177467,-0.425526482,-0.207305467,-0.028867053,0.035957571,,-0.220450144,,-1.31099308,RPMI wGln
TUHR10TKB,Kidney,0.168681178,-0.081066728,0.535396422,-0.164825461,-0.611085678,0.043894171,0.463002733,0.66088175,-0.649012008,-0.988891862,-0.684009952,-0.046878799,0.155079552,-0.60919853,0.153767561,0.064695546,-1.095555776,-0.496619904,-1.701194359,-0.444395976,-0.176739562,-0.678616887,-0.597068988,-0.602316421,0.171543711,0.301362289,-0.648638918,-0.107060224,0.373393364,0.205606029,-0.351144867,0.132709604,-0.671143519,0.493806067,-0.37154344,0.587047636,0.101315363,-0.24646426,-0.374629084,0.028997391,-0.055429812,0.0953649,RPMI
HEC1B,Endometrium,-0.149212433,-0.116319473,-0.707125582,-0.984166126,0.315632366,0.277015606,-0.025992332,0.045538196,0.165598937,-0.139533804,-0.191345851,-0.282962123,-0.377015071,-0.075624964,0.009917469,0.584461418,-0.509323418,0.030167946,-1.722906576,-0.067344564,0.756483916,0.913232981,0.506543236,-0.610837176,0.3138546,0.819613304,0.068334795,-0.597417078,-0.176209636,0.199261055,-0.041023538,-0.333914872,0.190223974,1.054786983,1.438338252,1.629623119,0.104519715,-0.053281793,-0.047679682,-0.05567356,-0.478422737,-1.097046069,RPMI
TGBC11TKB,Stomach,0.02563854,-0.809465626,-0.512642313,-2.189636906,0.252988243,0.05619764,-0.068601514,-0.305168825,-0.449846835,0.244291572,0.214346656,0.150183916,0.283484674,-0.27552224,-0.080691499,0.525349825,-0.004164848,0.491049125,1.113492929,-1.001065074,-0.416048781,-0.035354623,-0.126288226,-0.71431492,0.067475312,0.249581135,-0.018652615,-0.419637115,0.547444438,0.424976648,-0.522382762,0.313848607,-0.215860476,0.100693104,0.199133888,0.615103707,0.325275314,0.027524135,-0.19817408,-0.18962032,0.27809404,0.901829948,DMEM
OVK18,Ovary,0.223711274,0.351462703,-0.0867833,-1.476255813,0.360110288,0.03699503,0.153198624,0.41428822,-0.076420885,0.159533816,-0.09026451,-0.307924336,-0.037559298,0.261496201,0.121803167,0.626014142,-0.008852911,0.335748603,2.413428874,0.711683032,0.2087192,0.147314246,0.283781689,0.609439432,-0.090780667,-0.056865639,0.140580377,0.669085664,-0.125554614,-0.224587453,0.371702328,0.363787704,0.977203564,0.797192694,0.675195436,1.078963471,-0.115131609,0.144639322,0.127608421,0.051043155,0.373440362,0.507553993,MEM
SNU1077,Endometrium,-0.151592241,-0.711077176,-0.170698556,-0.117636447,-0.035697232,0.213725585,0.378623279,0.097196485,-0.046900746,-0.42473178,-0.387177637,-0.462633753,-0.23472216,-0.41166868,0.1302631,-0.324992452,0.094302102,-0.234425183,,-0.190049222,-0.18708932,-0.260665384,-0.375570607,-0.138604057,0.032993759,0.149642515,-0.157729707,0.028412256,0.019230474,0.108829815,0.429949865,0.234382775,-0.272800102,-0.224042209,-0.260233931,-0.648179695,0.374470409,0.015992515,,0.088983066,-0.124003446,-0.444101844,RPMI wGln
HCC1588,Lung,0.085119822,-0.468733159,-0.902786006,-2.70834767,0.080610891,0.192890451,-0.269813913,-0.40139329,-0.163408582,-0.152770745,0.32386743,-0.036402428,-0.195747541,-0.346220874,0.276407478,0.292601063,-0.216548959,-0.280853257,-1.590203822,-0.28075677,0.232170764,-0.112093915,0.050937187,-0.021181662,0.183582792,-0.285576602,-0.005013056,-0.436798648,0.015780648,0.106490393,0.337038782,0.002742194,-0.235889026,,-0.459748987,-0.266936208,0.608757733,-0.123535248,,-0.28912234,,-0.790002498,RPMI wGln
SNU213,Pancreas,-0.298828054,-0.3476177,-0.332832829,-0.179281823,-0.063549654,-0.358411842,-0.555386405,0.129609242,-0.006068265,-0.390997496,-0.523426826,-0.552236166,-0.451535136,-0.015426713,-0.327501943,-0.532006939,-0.303372867,-0.499527621,-0.278824493,-0.265909338,-0.616613055,-0.427236909,-0.620995319,-0.11772021,-0.090495213,-0.127027705,-0.640140992,-0.436087636,-0.343420734,0.076308787,-0.890148579,-0.109772936,-1.149419022,-0.869033425,-0.407865115,-0.871894969,0.053794973,-0.412273387,-0.420920407,-0.245770282,-0.154708048,-0.182883472,RPMI wGln
HT115,Large Intestine,0.236134128,0.155696783,0.395685386,,-0.526257484,-0.176932502,-0.049995404,0.141665135,0.072410894,-0.11599672,0.395223416,0.587116224,0.742628719,0.537576742,,0.223626243,0.108499514,0.230699041,-2.356366363,0.107287314,-0.562235745,-1.304233519,-0.49733216,0.104687697,-0.440425814,-0.464942607,0.07777398,0.216841601,0.148975424,-0.007296403,0.488874273,0.768158548,-1.024875776,-0.448873612,-0.902951729,-0.722375897,0.01854761,-0.121194806,,-0.013878363,0.056617986,-0.01205834,DMEM wGln
TE14,Oesophagus,0.080123682,-0.061394267,-0.030486218,1.079392618,-0.07610355,-0.003635888,0.00240827,-0.003932714,-0.124753216,0.203479475,0.25458983,0.202861898,0.246800881,-0.094737132,0.013611013,-0.523245481,0.197265126,-0.555443302,-1.363343681,0.995041624,1.867723191,1.43100101,1.221459737,0.73380159,0.996379723,0.013346523,-0.150538299,-0.034232231,-0.254502535,-1.003443439,-1.027592168,-1.452920419,0.540872461,0.36343661,0.30666408,0.237283675,0.651497374,0.143881062,-0.085130752,0.228677886,-0.081831874,-0.168390415,RPMI
TE8,Oesophagus,0.02448807,0.86446306,0.402481451,0.254652303,-0.29091961,0.255656773,0.336113758,0.066455612,-1.032581591,0.021871646,0.553408599,0.572191773,0.253018302,-0.312364316,-0.258219366,2.156162983,-0.825015951,2.510249067,,-0.037467638,0.706245741,0.825454766,0.241498336,-0.581394327,0.54216662,0.922950857,0.190048143,-1.598814195,-0.1591901,0.988584119,-1.920526847,-1.08247124,2.805984915,,3.646986294,2.923536092,-0.165742306,0.245697787,,0.011822992,0.192936366,0.28911332,RPMI
SNU520,Stomach,-0.116414114,-0.313861209,0.352720202,0.095599555,0.150017909,0.022654218,-0.416777282,-0.170734709,0.235819645,0.48383681,0.267431001,-0.517506272,-0.129669126,0.289784922,-0.120509582,-0.360371607,-0.098124901,-0.258097283,,-0.026020333,-1.265681271,-1.584016162,-1.210356345,0.535951576,-1.022525312,-1.152260044,-0.338685415,0.610315559,-0.991929281,-1.675628014,1.162381224,-0.776188523,0.328671206,-1.447790638,-2.120519402,-1.703619856,0.033659554,-0.145050674,,-0.119326166,0.030652712,0.514094901,RPMI wGln
JHUEM3,Endometrium,0.10317572,0.001502874,0.003254915,0.053654326,-0.242405913,0.276017195,0.435366537,0.196532395,-0.534524905,-0.400504548,-0.136589597,-0.036547112,-0.173402843,-0.586962489,0.156524061,-0.067511717,-0.161796024,-0.56663831,,-0.624061747,0.232936521,-0.343422608,-0.035138976,-0.485489508,0.218618531,-0.465489255,0.863340012,-0.37126589,0.037789768,0.413183387,-0.433674519,-0.235278283,-0.599385161,-0.181761231,0.171814631,-1.164433488,-0.007435458,0.026829755,-0.000273042,0.010943856,0.176232801,0.2508644,F10
LI7,Liver,0.10160467,0.15914455,0.623462197,1.097343639,0.38517264,-0.147423982,-0.062240404,-0.118643896,0.118321999,0.149610394,-0.048646805,0.036108625,0.000339161,0.246738272,-0.24187392,0.288372532,0.047174462,0.444050692,-1.614366066,0.005524599,-0.109853683,1.14916133,-0.001995382,0.09498959,-0.265025209,-0.272271872,0.440188114,0.432879498,-0.183946423,-0.365455137,0.493422714,-0.153778669,0.959349778,0.563711496,0.458244738,1.371158578,-0.236600751,-0.01793753,-0.078785996,-0.037896027,-0.171814593,-0.222029731,RPMI
NCIH838,Lung,0.160396573,0.047327748,-0.226231852,-0.316295161,0.853315747,0.455466707,-0.995166668,0.23325348,1.046844779,0.129737866,-0.45117343,-1.392471442,-0.950591591,-0.160549714,-0.307446676,-0.304733593,0.211505112,0.357138869,0.161819217,0.256709918,0.072781091,-0.270405605,0.821230547,0.353579317,-0.172749146,0.285606195,0.169958048,0.188434882,-0.203525409,-0.716543862,0.871599834,-0.082013057,0.699856252,0.613330423,0.901908177,0.45911181,-0.099541252,0.086151012,-0.073827048,-0.197971322,0.043319451,1.216201053,RPMI
SNU119,Ovary,0.063680112,-0.345865504,-0.416492543,-0.341535729,0.122278771,-0.022262563,0.175514562,1.02904425,-1.146691868,-0.533757806,-0.835050129,-0.488837476,0.119068634,-0.9435863,0.132321842,-0.812371049,-0.792941367,-1.219518784,,-0.886224519,0.683330977,1.044121763,0.245313035,-1.37785718,0.660893987,1.712896204,0.744339415,-2.597650452,-0.644615047,0.720085998,-3.21663145,-2.3189872,-1.654852765,-0.692468113,-0.585634219,-0.349014708,-0.307485217,-0.053018297,,-0.107279865,0.245352288,0.515774958,RPMI wGln
SNU1033,Large Intestine,-0.09851213,0.052473024,0.154245111,-0.180825582,-0.087360418,-0.029265789,-0.020583032,0.170323463,-0.44660214,-0.31279103,-0.403463417,-0.244364732,0.116266041,-0.186751026,-0.204859798,-0.31590653,-0.036031389,0.042125297,,-0.200310676,-0.386544286,-0.124290916,-0.228862044,0.069501003,-0.348020828,-0.734001809,-0.30907451,0.307881236,-0.194288105,-0.937148467,0.091926002,-0.367045732,0.227111536,-0.274171393,-0.114994409,-0.423440112,0.51229979,-0.037069831,,-0.179268319,-0.191280816,0.089552939,RPMI wGln
SNUC5,Large Intestine,-0.013364439,-0.715710127,-0.359908855,0.003731255,0.415194192,-0.019778279,-0.538947249,-0.504139587,0.418103211,0.704947042,-0.103296923,-0.236403722,-0.700666191,0.635366088,-0.044877817,-0.491924446,0.092600843,-0.604248365,,0.808198105,0.693072482,0.309253833,0.007384887,0.324954493,0.544133203,0.283027444,-0.451049034,-0.227227714,0.122992363,0.058380448,-0.644130427,-0.296563101,0.233618663,0.104358562,-0.539058033,-0.619602292,-0.989739984,-0.104769075,,-0.162182579,0.016653781,0.827902754,RPMI wGln
GSS,Stomach,0.276958486,0.557645058,1.69258978,0.687353507,0.14894941,0.697391695,0.215153529,0.269137034,-0.550939909,0.027488622,0.650691077,0.628780444,0.838635659,-0.024068004,0.393533063,0.231726527,0.266257696,0.418053611,-4.095496027,-1.896060523,-0.772924065,-0.528872936,-0.989845685,-1.570796442,0.330567507,0.501490887,-0.185146416,-1.514527792,0.658071273,1.831509127,-1.901532304,0.127022162,-1.489199072,-2.59088199,-0.854844789,,-1.319363221,0.234567656,,0.157976993,-0.092025367,-0.705346094,RPMI
TALL1,Haematopoietic And Lymphoid Tissue,0.080633147,-0.060148872,-0.489416543,1.921577847,-0.540809006,-0.35034889,-0.207691941,0.015817785,-0.720372058,0.609976523,0.725463885,0.358861181,1.300778149,0.433256871,0.045424733,0.468303751,0.275067656,0.820460385,1.904219112,1.295333715,1.439599746,2.633853323,0.637402903,0.628677251,0.954318228,0.49368731,-0.558907254,0.029505916,0.104671314,-0.186826718,-1.375111416,-1.381504711,2.259247843,1.983419646,2.105519219,0.632055081,0.663915538,0.088586353,0.003017598,-0.009430147,0.067200328,0.730723839,RPMI
HCC1171,Lung,0.091919395,-0.305145531,-0.413212888,-0.47967242,-0.664878863,0.068470907,0.700873652,0.947111624,-1.657978729,-0.95825154,-0.862196673,-0.595493025,0.411097501,-1.792378668,0.161132828,-0.696017466,-1.140376692,-1.01284,-2.35260451,-0.944675701,0.025631938,-0.52384354,-1.195461082,-1.012738849,0.144636586,0.062168783,-0.032097479,-1.445146623,0.325927906,1.10345006,-1.910190108,-0.440871844,,-2.308229474,,-1.809667421,0.14765484,0.068682842,,0.295548958,-0.248657971,-0.372472633,RPMI wGln
SNUC4,Large Intestine,-0.075211135,-0.453959299,-0.542020807,-0.009657848,0.114053384,-0.085070237,-0.299640448,-0.510167887,-1.040667502,0.656951394,0.525489195,0.186208871,-0.546840756,-0.739811764,0.084633665,0.333878314,-0.055779734,-0.010489312,1.163237085,0.78651167,0.171143209,-0.005204287,0.026609335,0.732341456,-0.04914024,-0.296233482,0.102211384,0.771015214,-0.320995631,-0.843706028,0.075755719,-0.705276181,0.765677891,0.334338117,0.046382811,0.395301782,-0.327776913,-0.015812166,-0.079905168,-0.089100692,-0.001742914,0.240995096,RPMI wGln
SNU620,Stomach,-0.005731903,-0.00780355,0.126740361,0.545432074,-0.121681659,0.112829287,0.502627075,-0.20229743,0.130629434,0.483866504,0.904129376,0.903982961,0.527125084,0.212478238,-0.124388793,0.231960716,0.792213567,0.790407059,,-0.631273532,-1.216649491,-0.794064273,-0.324440351,-0.345664814,-0.560908298,-0.629444964,0.192874789,0.298433044,0.04349983,-0.395270036,0.834266691,0.44806961,-0.649434307,-1.087078969,-0.853354222,-0.36263516,-0.093154392,0.028986458,,0.064372317,-0.112157845,-0.152317955,RPMI wGln
ECC12,Stomach,0.286410675,0.73951083,0.782750525,-2.060614816,0.580487877,0.297132023,-0.451810759,0.367213958,0.505820837,0.804584526,0.518092826,0.09839221,-0.198108157,1.448690724,0.124845891,0.652447308,0.97721615,1.192582533,0.876389948,1.29519213,1.382556689,0.575139268,0.952287916,0.249958668,0.781847594,0.361649627,0.456085233,0.133613492,-0.185474459,-0.041347108,-0.112134207,-0.058340595,0.514437361,0.673935258,0.859431555,0.541920494,0.984091087,0.292238615,0.392362516,0.169307006,0.339020545,0.78504027,RPMI
GSU,Stomach,-0.032543294,-0.205183301,0.994161379,-0.955809325,-0.113813916,-0.076473939,-0.595150762,0.268963103,-0.493240935,0.705171235,0.515394702,0.276132597,0.616325575,0.247154111,-0.145093854,-0.519407946,0.178700447,0.294663233,-5.300862502,-0.256933569,-1.433430884,-1.993468321,-0.899640441,0.309085066,-0.980602188,-2.192362441,0.006214427,-0.088096033,-0.178259571,-1.267699109,0.789295703,0.26994564,-1.023955301,,-2.438761425,,-0.336777863,-0.10644402,,-0.005257707,-0.79618834,-1.218445372,RPMI
JHOM2B,Ovary,0.071287901,0.629397421,0.254785756,-0.130024763,0.145845233,0.673001956,0.924474993,0.305784456,0.059442789,-0.900420252,-0.222539868,-0.363159457,-0.628627483,-0.410465243,0.445730916,-0.33313561,-0.230570775,-0.544502522,,-1.419322437,-0.949371524,-0.451931195,-1.330962204,-1.253766807,-0.314511497,0.276677469,-0.707405529,-0.842866078,0.174311353,0.994122431,-0.441529937,0.665626822,-2.400325445,-1.450279578,-0.704734417,-1.19650664,0.085225171,0.619262836,,0.262654951,0.885394209,0.748273254,F10
MDAMB231,Breast,0.725518883,0.094619559,0.79563617,-0.705999684,0.257401466,0.239452244,0.595928637,1.287368901,0.258283961,0.487383402,0.183611337,0.296541514,0.630351215,0.203084398,0.328927648,0.731860759,0.410926449,0.586846035,1.872609752,0.486991224,0.006088602,0.775845443,0.31033723,0.838020665,0.303566965,0.754525061,0.482869609,0.817743363,0.40088212,0.525147142,0.553624402,0.907885578,0.793743948,0.387814816,0.665116658,0.168875449,-0.089970656,0.824957213,0.772207424,-0.05767253,-1.786637253,-0.63586333,RPMI
OV90,Ovary,0.543217776,0.939134842,0.816768344,0.345552055,0.409795049,0.600121027,0.338260804,0.253959014,0.877632327,1.078765519,0.700484839,0.393071348,0.479275339,0.942284447,0.32512712,0.621764186,-0.077717585,1.138062072,,0.878356873,0.315945336,0.190863949,-0.005109585,1.040865949,0.066282234,-0.384617934,0.261178525,1.091290578,0.233091776,-0.162034131,0.654744498,0.153955433,1.164049154,0.705823132,0.846097469,0.738712132,1.02948621,0.489248496,,0.40044865,0.226568776,-0.117858718,MCDB105-M199
RS411,Haematopoietic And Lymphoid Tissue,-0.25690461,-0.52364142,0.11570067,-0.712019558,-0.614087127,-0.447775251,-0.250120201,-0.532981638,-0.403488074,0.037057568,0.427374065,0.174588781,0.289637192,-0.499967919,-0.182511961,0.12754497,-0.286574896,-0.12934571,1.213290022,-0.104330833,0.556486484,1.26176126,0.092822861,-0.547926909,0.663190561,0.556864923,-0.257541563,-1.126254135,0.270717237,0.929682259,-1.487324511,-0.279595568,-0.096233568,0.626077864,0.512963358,0.083421456,-0.330510562,0.030649354,0.025722332,0.031885147,-0.169608618,-0.14478243,RPMI
OVTOKO,Ovary,-0.336786858,-0.215684185,-0.160413725,-3.382222144,0.218179049,-0.067470102,-0.033727488,0.248683225,0.366360273,-0.442285437,-0.69828083,-0.537864806,-0.32989546,0.200260281,0.065275353,-0.004011443,-0.593751319,-0.192773818,-2.171449417,0.848852077,0.408930272,0.171518187,0.026566091,0.459853473,0.155881152,0.192906169,-0.018575164,0.325268987,-0.260039515,-0.448087387,-0.320245106,-0.462458612,0.612655228,0.101817533,0.845535181,0.769570079,0.200867558,-0.109748151,-0.171792024,-0.137840429,0.012087733,0.038158988,RPMI
